,axis,bootstrap,categorical_features,copy,criterion,dtype,fill_empty,handle_unknown,max_features,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,missing_values,n_estimators,n_jobs,n_values,oob_score,random_state,run_id,sparse,strategy,strategy_nominal,threshold,verbose,warm_start,value
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8026968345397,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,45106.0,5965513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696495619524
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1928955781466,0.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,35087.0,5965719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968085106383
2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7434098103354,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,59279.0,5965793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934292866083
3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3348354191144,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33636.0,5965856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9874843554443
4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7008381256856,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,33472.0,5965962.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9928035043805
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1710654320088,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18230.0,5965977.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9705882352941
6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5824246996314,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50908.0,5966454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994055068836
7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4570536272701,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,48221.0,5966495.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9906132665832
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7689873935068,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,62956.0,5966502.0,0.0,2.0,0.0,0.0,0.0,0.0,0.973717146433
9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6460992187082,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,43541.0,5966515.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9862327909887
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2342306192672,0.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,29198.0,5966525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9818523153942
11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1909628232508,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,65354.0,5966559.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9759073842303
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733314472225,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,31818.0,5966927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973717146433
13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2702914644301,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,56046.0,5967128.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9862327909887
14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4394670636869,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7477.0,5967162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991239048811
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3436213894278,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,43344.0,5967181.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9806007509387
16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5167657715511,0.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,25812.0,5967274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777847309136
17,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8908958944905,0.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,59460.0,5967355.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9765331664581
18,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2535907133351,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,64499.0,5967382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9896745932416
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8535030793613,0.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,48775.0,5967627.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9840425531915
20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1561264762715,0.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,22513.0,5967629.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9693366708385
