50947.value,50951.value,50953.value,50950.value_linear,50950.value_polynomial
2.926844552565209e-05,7.929505457974018e-08,0.563216660115746,0.061559306777636456,0.37170714956655526
0.0026081223245382726,0.0260475752186314,0.5311244725547267,0.34077951828507075,2.5711138758662907e-05
0.00011719198341573225,0.003540338998865456,0.2758186161572076,0.24976142338507445,0.43002172986502496
0.0016148422423147013,0.35858675093716935,0.0025257688077328106,0.18570305811288074,0.27907148280843386
0.002179058393197504,0.0025034241583096646,0.9317901211460953,1.3744423868971877e-07,0.026073421200856917
0.00691096504399844,0.3491570010177932,0.5217079083377483,5.258038098946516e-07,0.02740228388514046
0.003711813593959474,0.012204833899766265,0.002041433359245217,0.4243520036547478,0.5381012030192458
0.030081207021407916,0.2675722791988512,0.49165542698615017,0.09033352602702367,0.012701182830151826
0.040477375006887424,0.0033302885128658893,0.6292370116003886,0.16595915380778956,0.019318398982044092
0.004732775176304632,0.12317787999319296,0.0037320567796166127,0.6345408362997874,0.16498690056766377
0.0673641368507717,0.0017871287836124137,0.5838642018706873,0.17904756084237433,0.11864104967101657
0.008263783191838445,0.3561077403620472,0.4945922996499308,4.369326840166178e-08,0.08771275669870007
0.011489114680680935,0.07882087618351696,0.6027684848635956,0.01939220242127332,0.02930767266289666
0.03954231977118989,0.13138770234860947,0.4117809616328171,0.15070746584731268,0.09920282680721253
0.04754147587477736,0.0022047792622599443,0.5327238802877325,0.24660099738198749,0.10699438513268461
0.061351126974999046,0.21117172833334671,0.0929729328999787,0.10144509230222896,0.3134777952512553
0.04791815498568185,0.5986648498945599,0.033047600991130965,0.024314844205103773,0.115937885467644
0.06816357802139929,0.253187457638862,0.3557444095604477,0.05716458407345494,0.06437116588272367
